deal_id,state,product_type,seller_channel,partnership,sourcing_vendor,closing_vendor,broker,deal_status,purchase_date,sold_date,purchase_year,holding_period_months,days_on_market,contract_price,purchase_price,rehab_and_interest,total_cost,loan_amount,total_cash_required,sales_price,sales_closing_costs,sales_closing_pct,sales_proceeds,actual_profit,unleveraged_irr,leveraged_irr,straight_roi,annualized_roi,bpo_value,bpo_variation,profit_estimate,profit_variation,rehab_estimate,rehab_actual_broker,rehab_differential,buy_side_cost_estimate,total_cost_estimate,total_cost_actual_w_rehab,debt_service,under_contract_flag,listed_flag,burden_profit,unleveraged_irr_raw,leveraged_irr_raw,profit_margin_pct
DEAL-015,NV,CONDO,AUCTION,Partner_02,Vendor_01,Vendor_01,Broker_01,Sold,2011-03-17,2011-05-20,2011,2.1,64,42500.0,44412.0,3408.0,47820.0,0.0,47820.0,55142.0,5008.0,0.09082006456058903,50134.0,2314.0,0.3222640573978426,,0.048389795064826435,0.2759730499790883,55000.0,1.0025818181818182,4107.0,0.5634282931580229,0.0,,0.0,2343.0,2343.0,3408.0,,False,False,2297.51,0.3222640573978426,,0.048389795064826435
DEAL-016,NV,SFR,AUCTION,Partner_03,Vendor_01,Vendor_01,Broker_01,Sold,2011-03-18,2011-05-18,2011,2.0,61,84000.0,85861.0,7764.200000000001,93625.2,0.0,93625.2,112365.0,12247.0,0.10899301383882881,100118.0,6492.799999999999,0.5188925445079805,,0.06934885052314975,0.41495623673687965,112000.0,1.0032589285714286,11519.0,0.563660039934022,0.0,,0.0,4161.0,4161.0,7764.200000000001,,False,False,6460.208,0.5188925445079805,,0.06934885052314975
DEAL-017,CA,CONDO,BANK REO,Partner_06,Vendor_09,Vendor_27,Broker_27,Sold,2011-03-24,2011-07-07,2011,3.4,105,359000.0,377720.0,48712.2,426432.2,269000.0,157432.2,565175.0,97600.0,0.1726898748175344,467575.0,41142.8,,1.5736129321157932,0.09648145707570864,0.33538792221555863,550000.0,1.027590909090909,55605.0,0.7399118784281989,30000.0,,30000.0,23107.0,53107.0,48712.2,,False,False,41003.508,,1.5736129321157932,0.09648145707570864
DEAL-018,NV,CONDO,AUCTION,Partner_03,Vendor_01,Vendor_01,Broker_01,Sold,2011-03-25,2011-05-13,2011,1.6,49,57550.0,59890.0,3504.94,63394.94,0.0,63394.94,67283.0,3275.0,0.04867499962843512,64008.0,613.06,0.07646211683750155,,0.009670487896983574,0.07203526698773478,70000.0,0.9611857142857143,1735.0,0.3533487031700288,0.0,,0.0,3025.0,3025.0,3504.94,,False,False,590.7306,0.07646211683750155,,0.009670487896983574
DEAL-019,AZ,COMMERCIAL,OTHER/PRIVATE,Partner_11,Vendor_11,Vendor_01,Broker_02,Sold,2011-04-26,2017-09-14,2011,76.6,2333,37497.0,37497.0,-19338.0,18159.0,37496.0,-19337.0,106000.0,10045.0,0.061961924563854326,95955.0,77796.0,,20.969606786966324,4.2841566165537746,0.6702602507681644,,,,,,,0.0,,0.0,-19338.0,,False,False,77781.451164,,20.969606786966324,4.2841566165537746
DEAL-020,AZ,COMMERCIAL,OTHER/PRIVATE,Partner_11,Vendor_11,Vendor_01,Broker_02,Sold,2011-04-26,2019-01-24,2011,93.0,2830,157803.0,157803.0,-82792.0,75011.0,157802.0,-82791.0,464500.0,36086.0,0.061961924563854326,428414.0,353403.0,,17.561032325029373,4.711349002146352,0.6076474861425506,,,,,,,0.0,,0.0,-82792.0,,False,False,353341.772436,,17.561032325029373,4.711349002146352
DEAL-021,AZ,COMMERCIAL,OTHER/PRIVATE,Partner_11,Vendor_11,Vendor_06,Broker_02,Sold,2011-04-26,2016-01-22,2011,56.9,1732,114700.0,114700.0,-35949.0,78751.0,114699.0,-35948.0,342000.0,27179.0,0.061961924563854326,314821.0,236070.0,,,2.997676219984508,0.6317273789228323,,,,,,,0.0,,0.0,-35949.0,,False,False,236025.4964,,82.20518290996552,2.997676219984508
DEAL-022,CA,SFR,AUCTION,Partner_06,Vendor_01,Vendor_01,Broker_21,Sold,2011-04-29,2011-09-16,2011,4.6,140,99750.0,105099.0,18199.3,123298.3,74531.0,48767.3,144000.0,15769.0,0.10950694444444445,128231.0,4932.7,,0.3600678825750947,0.04000622879634188,0.10430195364760561,140000.0,1.0285714285714285,15060.0,0.32753652058432936,7500.0,,7500.0,9790.0,17290.0,18199.3,,False,False,4893.996999999999,,0.3600678825750947,0.04000622879634188
DEAL-023,CA,SFR,AUCTION,Partner_06,Vendor_01,Vendor_01,Broker_21,Sold,2011-05-06,2011-10-24,2011,5.6,171,107100.0,114053.0,17569.48,131622.48,79566.0,52056.48000000001,150000.0,11845.0,0.07896666666666667,138155.0,6532.5199999999995,,0.35228833090513945,0.04963073177165481,0.10593694208569594,0.0,,0.0,,0.0,,0.0,0.0,0.0,17569.48,,False,False,6490.9652,,0.35228833090513945,0.04963073177165481
DEAL-024,CA,SFR,AUCTION,Partner_03,Vendor_01,Vendor_07,Broker_09,Sold,2011-05-10,2011-07-01,2011,1.7,52,199500.0,201974.0,18349.6,220323.6,140000.0,80323.6,252400.0,23066.0,0.09138668779714738,229334.0,9010.4,,1.3164498750120401,0.04089620903071663,0.28705992877329944,247500.0,1.0197979797979797,9145.0,0.9852815746309458,0.0,,0.0,19993.0,19993.0,18349.6,,False,False,8932.993999999999,,1.3164498750120401,0.04089620903071663
